Date,zone,centre,Price
03-02-93,1,CHANDIGARH,52
03-02-93,1,DELHI,55
03-02-93,2,AHMEDABAD,75
03-02-93,2,RAJKOT,76
03-02-93,2,PANAJI,50
03-02-93,2,BHOPAL,50
03-02-93,2,INDORE,60
03-02-93,2,MUMBAI,60
03-02-93,2,NAGPUR,62
03-02-93,2,JAIPUR,63
03-02-93,2,JODHPUR,64
03-02-93,3,GUWAHATI,40
03-02-93,3,PATNA,NA
03-02-93,3,SHILLONG,NA
03-02-93,3,AIZAWL,NA
03-02-93,3,BHUBANESHWAR,60
03-02-93,3,CUTTACK,62.5
03-02-93,3,KOLKATA,50
03-02-93,3,AGARTALA,NA
03-02-93,4,HYDERABAD,48
03-02-93,4,VIJAYAWADA,65
03-02-93,4,BANGALORE,NA
03-02-93,4,THIRUVANANTHAPURAM,63
03-02-93,4,ERNAKULAM,63
03-02-93,4,CHENNAI,85
03-02-93,4,MADURAI,85
03-02-93,4,PONDICHERRY,87.5
10-02-93,1,HISAR,64
10-02-93,1,KARNAL,56
10-02-93,1,SHIMLA,63
10-02-93,1,MANDI,NA
10-02-93,1,SRINAGAR,NA
10-02-93,1,JAMMU,NA
10-02-93,1,AMRITSAR,56
10-02-93,1,LUDHIANA,55
10-02-93,1,LUCKNOW,55
10-02-93,1,KANPUR,64
10-02-93,1,CHANDIGARH,NA
10-02-93,1,DELHI,55
10-02-93,2,AHMEDABAD,75
10-02-93,2,RAJKOT,76
10-02-93,2,PANAJI,50
10-02-93,2,BHOPAL,50
10-02-93,2,INDORE,60
10-02-93,2,MUMBAI,68
10-02-93,2,NAGPUR,62
10-02-93,2,JAIPUR,65
10-02-93,2,JODHPUR,64
10-02-93,3,GUWAHATI,NA
10-02-93,3,PATNA,58
10-02-93,3,SHILLONG,NA
10-02-93,3,AIZAWL,NA
10-02-93,3,BHUBANESHWAR,60
10-02-93,3,CUTTACK,62.5
10-02-93,3,KOLKATA,50
10-02-93,3,AGARTALA,NA
10-02-93,4,HYDERABAD,48
10-02-93,4,VIJAYAWADA,65
10-02-93,4,BANGALORE,68
10-02-93,4,THIRUVANANTHAPURAM,65
10-02-93,4,ERNAKULAM,65
10-02-93,4,CHENNAI,85
10-02-93,4,MADURAI,NA
10-02-93,4,PONDICHERRY,NA
17-02-93,1,HISAR,NA
17-02-93,1,KARNAL,NA
17-02-93,1,SHIMLA,63
17-02-93,1,MANDI,66
17-02-93,1,SRINAGAR,NA
17-02-93,1,JAMMU,78
17-02-93,1,AMRITSAR,NA
17-02-93,1,LUDHIANA,NA
17-02-93,1,LUCKNOW,55
17-02-93,1,KANPUR,64
17-02-93,1,CHANDIGARH,60
17-02-93,1,DELHI,55
17-02-93,2,AHMEDABAD,75
17-02-93,2,RAJKOT,76
17-02-93,2,PANAJI,50
17-02-93,2,BHOPAL,NA
17-02-93,2,INDORE,NA
17-02-93,2,MUMBAI,68
17-02-93,2,NAGPUR,70
17-02-93,2,JAIPUR,NA
17-02-93,2,JODHPUR,NA
17-02-93,3,GUWAHATI,40
17-02-93,3,PATNA,NA
17-02-93,3,SHILLONG,NA
17-02-93,3,AIZAWL,70
17-02-93,3,BHUBANESHWAR,60
17-02-93,3,CUTTACK,62.5
17-02-93,3,KOLKATA,50
17-02-93,3,AGARTALA,NA
17-02-93,4,HYDERABAD,70
17-02-93,4,VIJAYAWADA,65
17-02-93,4,BANGALORE,NA
17-02-93,4,THIRUVANANTHAPURAM,65
17-02-93,4,ERNAKULAM,65
17-02-93,4,CHENNAI,85
17-02-93,4,MADURAI,85
17-02-93,4,PONDICHERRY,NA
24-02-93,1,HISAR,NA
24-02-93,1,KARNAL,56
24-02-93,1,SHIMLA,63
24-02-93,1,MANDI,NA
24-02-93,1,SRINAGAR,NA
24-02-93,1,JAMMU,66
24-02-93,1,AMRITSAR,59.5
24-02-93,1,LUDHIANA,75
24-02-93,1,LUCKNOW,NA
24-02-93,1,KANPUR,NA
24-02-93,1,CHANDIGARH,NA
24-02-93,1,DELHI,55
24-02-93,2,AHMEDABAD,75
24-02-93,2,RAJKOT,78
24-02-93,2,PANAJI,65
24-02-93,2,BHOPAL,NA
24-02-93,2,INDORE,NA
24-02-93,2,MUMBAI,76
24-02-93,2,NAGPUR,70
24-02-93,2,JAIPUR,70
24-02-93,2,JODHPUR,68
24-02-93,3,GUWAHATI,40
24-02-93,3,PATNA,NA
24-02-93,3,SHILLONG,NA
24-02-93,3,AIZAWL,NA
24-02-93,3,BHUBANESHWAR,60
24-02-93,3,CUTTACK,62.5
24-02-93,3,KOLKATA,50
24-02-93,3,AGARTALA,NA
24-02-93,4,HYDERABAD,70
24-02-93,4,VIJAYAWADA,65
24-02-93,4,BANGALORE,68
24-02-93,4,THIRUVANANTHAPURAM,65
24-02-93,4,ERNAKULAM,65
24-02-93,4,CHENNAI,87
24-02-93,4,MADURAI,85
24-02-93,4,PONDICHERRY,NA
03-03-93,1,HISAR,64
03-03-93,1,KARNAL,56
03-03-93,1,SHIMLA,63
03-03-93,1,MANDI,66
03-03-93,1,SRINAGAR,NA
03-03-93,1,JAMMU,70
03-03-93,1,AMRITSAR,69
03-03-93,1,LUDHIANA,78
03-03-93,1,LUCKNOW,NA
03-03-93,1,KANPUR,NA
03-03-93,1,CHANDIGARH,70
03-03-93,1,DELHI,55
03-03-93,2,AHMEDABAD,75
03-03-93,2,RAJKOT,78
03-03-93,2,PANAJI,60
03-03-93,2,BHOPAL,NA
03-03-93,2,INDORE,NA
03-03-93,2,MUMBAI,76
03-03-93,2,NAGPUR,70
03-03-93,2,JAIPUR,68
03-03-93,2,JODHPUR,65
03-03-93,3,GUWAHATI,40
03-03-93,3,PATNA,NA
03-03-93,3,SHILLONG,NA
03-03-93,3,AIZAWL,NA
03-03-93,3,BHUBANESHWAR,60
03-03-93,3,CUTTACK,62.5
03-03-93,3,KOLKATA,50
03-03-93,3,AGARTALA,NA
03-03-93,4,HYDERABAD,58
03-03-93,4,VIJAYAWADA,65
03-03-93,4,BANGALORE,68
03-03-93,4,THIRUVANANTHAPURAM,65
03-03-93,4,ERNAKULAM,71
03-03-93,4,CHENNAI,87
03-03-93,4,MADURAI,85
03-03-93,4,PONDICHERRY,87.5
10-03-93,1,HISAR,64
10-03-93,1,KARNAL,56
10-03-93,1,SHIMLA,63
10-03-93,1,MANDI,66
10-03-93,1,SRINAGAR,NA
10-03-93,1,JAMMU,70
10-03-93,1,AMRITSAR,NA
10-03-93,1,LUDHIANA,NA
10-03-93,1,LUCKNOW,60
10-03-93,1,KANPUR,65
10-03-93,1,CHANDIGARH,NA
10-03-93,1,DELHI,55
10-03-93,2,AHMEDABAD,75
10-03-93,2,RAJKOT,78
10-03-93,2,PANAJI,60
10-03-93,2,BHOPAL,50
10-03-93,2,INDORE,60
10-03-93,2,MUMBAI,76
10-03-93,2,NAGPUR,70
10-03-93,2,JAIPUR,67
10-03-93,2,JODHPUR,65
10-03-93,3,GUWAHATI,NA
10-03-93,3,PATNA,NA
10-03-93,3,SHILLONG,NA
10-03-93,3,AIZAWL,NA
10-03-93,3,BHUBANESHWAR,60
10-03-93,3,CUTTACK,62.5
10-03-93,3,KOLKATA,50
10-03-93,3,AGARTALA,NA
10-03-93,4,HYDERABAD,70
10-03-93,4,VIJAYAWADA,65
10-03-93,4,BANGALORE,NA
10-03-93,4,THIRUVANANTHAPURAM,NA
10-03-93,4,ERNAKULAM,NA
10-03-93,4,CHENNAI,87
10-03-93,4,MADURAI,85
10-03-93,4,PONDICHERRY,NA
17-03-93,1,HISAR,NA
17-03-93,1,KARNAL,NA
17-03-93,1,SHIMLA,63
17-03-93,1,MANDI,66
17-03-93,1,SRINAGAR,NA
17-03-93,1,JAMMU,70
17-03-93,1,AMRITSAR,NA
17-03-93,1,LUDHIANA,NA
17-03-93,1,LUCKNOW,60
17-03-93,1,KANPUR,65
17-03-93,1,CHANDIGARH,60
17-03-93,1,DELHI,55
17-03-93,2,AHMEDABAD,80
17-03-93,2,RAJKOT,78
17-03-93,2,PANAJI,60
17-03-93,2,BHOPAL,50
17-03-93,2,INDORE,60
17-03-93,2,MUMBAI,76
17-03-93,2,NAGPUR,68
17-03-93,2,JAIPUR,66
17-03-93,2,JODHPUR,65
17-03-93,3,GUWAHATI,45
17-03-93,3,PATNA,NA
17-03-93,3,SHILLONG,NA
17-03-93,3,AIZAWL,70
17-03-93,3,BHUBANESHWAR,60
17-03-93,3,CUTTACK,62.5
17-03-93,3,KOLKATA,50
17-03-93,3,AGARTALA,54.5
17-03-93,4,HYDERABAD,65
17-03-93,4,VIJAYAWADA,65
17-03-93,4,BANGALORE,68
17-03-93,4,THIRUVANANTHAPURAM,NA
17-03-93,4,ERNAKULAM,NA
17-03-93,4,CHENNAI,87
17-03-93,4,MADURAI,92
17-03-93,4,PONDICHERRY,NA
24-03-93,1,HISAR,64
24-03-93,1,KARNAL,56
24-03-93,1,SHIMLA,63
24-03-93,1,MANDI,66
24-03-93,1,SRINAGAR,NA
24-03-93,1,JAMMU,NA
24-03-93,1,AMRITSAR,NA
24-03-93,1,LUDHIANA,NA
24-03-93,1,LUCKNOW,60
24-03-93,1,KANPUR,63
24-03-93,1,CHANDIGARH,70
24-03-93,1,DELHI,55
24-03-93,2,AHMEDABAD,NA
24-03-93,2,RAJKOT,NA
24-03-93,2,PANAJI,NA
24-03-93,2,BHOPAL,50
24-03-93,2,INDORE,85
24-03-93,2,MUMBAI,74
24-03-93,2,NAGPUR,66
24-03-93,2,JAIPUR,67
24-03-93,2,JODHPUR,65
24-03-93,3,GUWAHATI,45
24-03-93,3,PATNA,NA
24-03-93,3,SHILLONG,NA
24-03-93,3,AIZAWL,NA
24-03-93,3,BHUBANESHWAR,60
24-03-93,3,CUTTACK,62.5
24-03-93,3,KOLKATA,50
24-03-93,3,AGARTALA,NA
24-03-93,4,HYDERABAD,48
24-03-93,4,VIJAYAWADA,65
24-03-93,4,BANGALORE,68
24-03-93,4,THIRUVANANTHAPURAM,NA
24-03-93,4,ERNAKULAM,NA
24-03-93,4,CHENNAI,102
24-03-93,4,MADURAI,96
24-03-93,4,PONDICHERRY,85
31-03-93,1,HISAR,64
31-03-93,1,KARNAL,56
31-03-93,1,SHIMLA,63
31-03-93,1,MANDI,76
31-03-93,1,SRINAGAR,NA
31-03-93,1,JAMMU,NA
31-03-93,1,AMRITSAR,NA
31-03-93,1,LUDHIANA,NA
31-03-93,1,LUCKNOW,60
31-03-93,1,KANPUR,64
31-03-93,1,CHANDIGARH,70
31-03-93,1,DELHI,60
31-03-93,2,AHMEDABAD,80
31-03-93,2,RAJKOT,78
31-03-93,2,PANAJI,60
31-03-93,2,BHOPAL,65
31-03-93,2,INDORE,65
31-03-93,2,MUMBAI,74
31-03-93,2,NAGPUR,68
31-03-93,2,JAIPUR,68
31-03-93,2,JODHPUR,65
31-03-93,3,GUWAHATI,45
31-03-93,3,PATNA,NA
